Subject,Start Date,Start Time
T1 vs DWG,2020-02-05,17:00
KT vs GEN,2020-02-05,20:00
SB vs APK,2020-02-06,17:00
GRF vs AF,2020-02-06,20:00
HLE vs T1,2020-02-07,17:00
DRX vs KT,2020-02-07,20:00
APK vs DWG,2020-02-08,17:00
GEN vs GRF,2020-02-08,20:00
SB vs DRX,2020-02-09,17:00
AF vs HLE,2020-02-09,20:00
APK vs AF,2020-02-12,17:00
GRF vs SB,2020-02-12,20:00
KT vs T1,2020-02-13,17:00
DRX vs HLE,2020-02-13,20:00
DWG vs GEN,2020-02-14,17:00
GRF vs APK,2020-02-14,20:00
AF vs DRX,2020-02-15,17:00
HLE vs SB,2020-02-15,20:00
DWG vs KT,2020-02-16,17:00
T1 vs GEN,2020-02-16,20:00
GEN vs HLE,2020-02-19,17:00
DRX vs T1,2020-02-19,20:00
GRF vs DWG,2020-02-20,17:00
KT vs APK,2020-02-20,20:00
SB vs AF,2020-02-21,17:00
DRX vs GEN,2020-02-21,20:00
HLE vs GRF,2020-02-22,17:00
APK vs T1,2020-02-22,20:00
AF vs KT,2020-02-23,17:00
SB vs DWG,2020-02-23,20:00
KT vs SB,2020-02-26,17:00
T1 vs GRF,2020-02-26,20:00
GEN vs AF,2020-02-27,17:00
HLE vs DWG,2020-02-27,20:00
APK vs DRX,2020-02-28,17:00
T1 vs SB,2020-02-28,20:00
KT vs HLE,2020-02-29,17:00
DWG vs AF,2020-02-29,20:00
GEN vs APK,2020-03-01,17:00
DRX vs GRF,2020-03-01,20:00
DWG vs DRX,2020-03-04,17:00
HLE vs APK,2020-03-04,20:00
SB vs GEN,2020-03-05,17:00
AF vs T1,2020-03-05,20:00
GRF vs KT,2020-03-06,17:00
GRF vs GEN,2020-03-25,15:00
KT vs DWG,2020-03-25,18:00
HLE vs DRX,2020-03-25,21:00
AF vs SB,2020-03-26,15:00
T1 vs APK,2020-03-26,18:00
GEN vs DWG,2020-03-26,21:00
HLE vs KT,2020-03-27,15:00
SB vs GRF,2020-03-27,18:00
T1 vs DRX,2020-03-27,21:00
DWG vs APK,2020-03-28,15:00
AF vs GEN,2020-03-28,16:00
GRF vs DRX,2020-03-28,17:00
T1 vs HLE,2020-03-29,15:00
APK vs SB,2020-03-29,16:00
KT vs AF,2020-03-29,17:00
DRX vs SB,2020-04-01,15:00
KT vs GRF,2020-04-01,18:00
GEN vs T1,2020-04-01,21:00
AF vs APK,2020-04-02,15:00
DWG vs HLE,2020-04-02,18:00
KT vs DRX,2020-04-02,21:00
GEN vs SB,2020-04-03,15:00
GRF vs T1,2020-04-03,18:00
AF vs DWG,2020-04-03,21:00
APK vs KT,2020-04-04,15:00
SB vs HLE,2020-04-04,18:00
GEN vs DRX,2020-04-04,21:00
DWG vs T1,2020-04-05,15:00
APK vs GRF,2020-04-05,16:00
HLE vs AF,2020-04-05,17:00
DWG vs GRF,2020-04-08,17:00
APK vs GEN,2020-04-08,20:00
SB vs T1,2020-04-09,17:00
AF vs GRF,2020-04-09,20:00
DRX vs DWG,2020-04-10,17:00
T1 vs KT,2020-04-10,20:00
APK vs HLE,2020-04-11,17:00
SB vs KT,2020-04-11,20:00
DRX vs AF,2020-04-12,17:00
HLE vs GEN,2020-04-12,20:00
GEN vs KT,2020-04-15,15:00
T1 vs AF,2020-04-15,17:00
DWG vs SB,2020-04-15,20:00
GRF vs HLE,2020-04-16,17:00
DRX vs APK,2020-04-16,20:00
KT vs DWG,2020-04-18,17:00
DWG vs DRX,2020-04-20,17:00
DRX vs T1,2020-04-22,17:00
T1 vs GEN,2020-04-25,17:00
T1 vs FPX,2020-05-28,16:00
DWG vs TES,2020-05-28,17:00
T1 vs DWG,2020-05-28,18:00
FPX vs TES,2020-05-28,19:00
FPX vs DWG,2020-05-28,20:00
T1 vs TES,2020-05-28,21:00
JDG vs GEN,2020-05-29,16:00
DRX vs iG,2020-05-29,17:00
DRX vs GEN,2020-05-29,18:00
JDG vs iG,2020-05-29,19:00
iG vs GEN,2020-05-29,20:00
DRX vs JDG,2020-05-29,21:00
FPX vs JDG,2020-05-30,14:00
GEN vs TES,2020-05-30,19:00
FPX vs TES,2020-05-31,18:00
AF vs SB,2020-06-17,17:00
DRX vs T1,2020-06-17,20:00
KT vs DYN,2020-06-18,17:00
SP vs HLE,2020-06-18,20:00
SB vs DWG,2020-06-19,17:00
DRX vs GEN,2020-06-19,20:00
AF vs DYN,2020-06-20,17:00
